"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\GroupSelector.tsx", "TypeScript JSX", 0, 0, 160, 0, 0, 4, 9, 173
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\PgnToLinesForm.tsx", "TypeScript JSX", 0, 0, 95, 0, 0, 3, 10, 108
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\Steps.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\parse\ParsePGNtoLineData.ts", "TypeScript", 0, 75, 0, 0, 0, 6, 11, 92
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\parse\ecoCodes.ts", "TypeScript", 0, 5012, 0, 0, 0, 0, 2, 5014
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\list\CourseListItem.tsx", "TypeScript JSX", 0, 0, 141, 0, 0, 0, 11, 152
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\endgames\EndgameTrainer.tsx", "TypeScript JSX", 0, 0, 601, 0, 0, 20, 41, 662
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\tactics\TacticsTrainer.tsx", "TypeScript JSX", 0, 0, 646, 0, 0, 26, 48, 720
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\tactics\create\TacticsSetCreator.tsx", "TypeScript JSX", 0, 0, 349, 0, 0, 2, 16, 367
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\tactics\list\SetListEdit.tsx", "TypeScript JSX", 0, 0, 172, 0, 0, 0, 14, 186
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\tactics\list\SetListItem.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 3, 83
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\tactics\list\SetListStats.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 4, 70
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\tactics\list\TacticsList.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 1, 9, 90
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\contact\report-an-issue\page.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\courses\[slug]\page.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 11, 80
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\courses\create\page.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\courses\page.tsx", "TypeScript JSX", 0, 0, 115, 0, 0, 0, 3, 118
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\dashboard\badges\page.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 5, 76
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\dashboard\new\page.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 3, 71
